user_id,name,age,gender,location,income,employment_status,education_level,disability_status,user_preferences
U1,User1,47,female,west bengal,0.9603117677021987,employed,primary,True,health
U2,User2,20,lgbtq+,maharashtra,0.14893221195046402,unemployed,secondary,False,study
U3,User3,55,lgbtq+,tamil nadu,0.7388136373352562,unemployed,secondary,False,study
U4,User4,47,male,west bengal,0.8618081436359385,unemployed,primary,False,study
U5,User5,26,male,west bengal,0.14322179466545104,employed,graduate,True,study
U6,User6,50,lgbtq+,rajasthan,0.5619488757914476,unemployed,postgraduate,True,employment
U7,User7,29,female,uttar pradesh,0.6730037049783335,unemployed,graduate,False,employment
U8,User8,58,female,tamil nadu,0.406718473891721,unemployed,graduate,True,health
U9,User9,47,female,west bengal,0.63494472628162,unemployed,graduate,True,health
U10,User10,26,lgbtq+,maharashtra,0.5615963623583645,unemployed,postgraduate,True,study
U11,User11,41,lgbtq+,maharashtra,0.40040259778749127,unemployed,graduate,True,employment
U12,User12,46,lgbtq+,west bengal,0.9263886379468677,employed,graduate,True,employment
U13,User13,36,male,maharashtra,0.8261569639162186,unemployed,primary,False,employment
U14,User14,26,male,maharashtra,0.15268845510581255,unemployed,primary,True,employment
U15,User15,34,male,maharashtra,0.6265030911457039,employed,secondary,False,study
U16,User16,19,lgbtq+,tamil nadu,0.1381550449684047,unemployed,primary,False,employment
U17,User17,46,lgbtq+,tamil nadu,0.1270009418086083,unemployed,primary,True,health
U18,User18,31,male,tamil nadu,0.6529384076107696,unemployed,postgraduate,False,employment
U19,User19,57,lgbtq+,west bengal,0.8111485303524765,unemployed,secondary,True,study
U20,User20,28,female,west bengal,0.3820473930972564,unemployed,graduate,True,employment
U21,User21,59,female,maharashtra,0.1996826336286511,unemployed,graduate,True,employment
U22,User22,39,lgbtq+,rajasthan,0.48361197335171974,employed,graduate,True,study
U23,User23,28,female,west bengal,0.6085403814440615,unemployed,graduate,False,study
U24,User24,45,male,uttar pradesh,0.3620817263455864,employed,secondary,False,employment
U25,User25,39,male,uttar pradesh,0.40734218198640515,employed,postgraduate,True,employment
U26,User26,54,lgbtq+,west bengal,0.8383866689438982,unemployed,postgraduate,False,employment
U27,User27,33,lgbtq+,rajasthan,0.4342936505306295,employed,postgraduate,False,employment
U28,User28,56,female,uttar pradesh,0.3582871284272844,unemployed,graduate,False,study
U29,User29,41,female,uttar pradesh,0.40738850386161973,unemployed,secondary,True,study
U30,User30,54,male,rajasthan,0.5229444386313261,unemployed,graduate,False,employment
U31,User31,46,female,maharashtra,0.4560284124742537,employed,postgraduate,True,employment
U32,User32,21,male,tamil nadu,0.3463186070300923,employed,secondary,False,study
U33,User33,35,lgbtq+,tamil nadu,0.6200231384127873,employed,postgraduate,True,employment
U34,User34,19,female,maharashtra,0.6603707222472996,employed,postgraduate,False,health
U35,User35,23,female,uttar pradesh,0.7987193763861758,unemployed,secondary,False,health
U36,User36,56,female,west bengal,0.3189686785912369,unemployed,graduate,False,employment
U37,User37,36,lgbtq+,uttar pradesh,0.060071588466366135,unemployed,postgraduate,True,study
U38,User38,60,male,rajasthan,0.8680366734937033,employed,postgraduate,False,employment
U39,User39,47,female,maharashtra,0.5175534566640921,employed,postgraduate,True,health
U40,User40,26,female,west bengal,0.12332987584298356,employed,graduate,True,health
U41,User41,43,lgbtq+,west bengal,0.7232484653037162,employed,secondary,False,health
U42,User42,26,female,tamil nadu,0.4171037298620027,unemployed,postgraduate,True,study
U43,User43,36,male,west bengal,0.9898857509844858,unemployed,primary,True,study
U44,User44,42,male,west bengal,0.799591587471937,employed,postgraduate,True,study
U45,User45,29,male,maharashtra,0.12744674553788007,unemployed,primary,True,study
U46,User46,27,female,maharashtra,0.7177301763908227,employed,postgraduate,True,employment
